# AiPinyin 词典 — 自动生成，请勿手动编辑
# 格式: 拼音,汉字,权重
# 共 47622 条
de,的,500
yi,一,499
shi,是,498
bu,不,497
le,了,496
ren,人,495
wo,我,494
zai,在,493
you,有,492
ta,他,491
zhe,这,490
zhong,中,489
da,大,488
lai,来,487
shang,上,486
ge,个,485
guo,国,484
he,和,483
ye,也,482
zi,子,481
shi,时,480
dao,道,479
na,那,478
yao,要,477
chu,出,476
hui,会,475
dui,对,474
shuo,说,473
ni,你,472
jiu,就,471
sheng,生,470
dao,到,469
zuo,作,468
di,地,467
yu,于,466
er,而,465
ran,然,464
neng,能,463
xia,下,462
guo,过,461
zhe,者,460
xue,学,459
duo,多,458
jing,经,457
fang,方,456
hou,后,455
zi,自,454
zhi,之,453
cheng,成,452
wan,万,451
yu,与,450
shi,事,449
zhong,种,448
ba,把,447
ta,它,446
liang,两,445
nian,年,444
yong,用,443
yi,以,442
mei,没,441
xiang,想,440
tong,同,439
ke,可,438
cong,从,437
quan,全,436
bei,被,435
hai,还,434
mian,面,433
jiang,将,432
kai,开,431
qi,其,430
wen,文,429
ri,日,428
yue,月,427
jian,间,426
gao,高,425
xiao,小,424
wu,无,423
suo,所,422
wei,为,421
shi,实,420
xing,行,419
hen,很,418
qian,前,417
san,三,416
qu,去,415
hao,好,414
dian,点,413
jin,进,412
dan,但,411
ci,此,410
you,又,409
jia,家,408
xin,新,407
men,门,406
zhu,主,405
xie,些,404
dou,都,403
mei,美,402
wen,问,401
shi,使,400
gong,工,399
yin,因,398
he,何,397
shou,手,396
ti,体,395
bi,比,394
bu,部,393
qi,气,392
ru,如,391
dang,当,390
ding,定,389
ben,本,388
zhe,着,387
li,力,386
ji,己,385
deng,等,384
fa,发,383
ming,明,382
hui,回,381
di,第,380
fen,分,379
yi,已,378
rang,让,377
xin,心,376
geng,更,375
shen,什,374
ru,入,373
nei,内,372
shui,水,371
hua,话,370
de,得,369
shi,十,368
er,二,367
li,利,366
zhong,重,365
shen,身,364
shi,市,363
chang,长,362
ji,机,361
te,特,360
zuo,做,359
gan,干,358
bie,别,357
cai,才,356
me,么,355
bai,白,354
se,色,353
hai,海,352
jun,军,351
ying,应,350
bian,变,349
ji,几,348
shi,世,347
zai,再,346
hua,花,345
jin,金,344
ren,任,343
li,立,342
zheng,正,341
zui,最,340
pin,品,339
ming,名,338
he,合,337
mu,目,336
xiang,向,335
jian,件,334
tiao,条,333
shan,山,332
tou,头,331
bai,百,330
shu,书,329
wang,王,328
yuan,员,327
wu,物,326
si,四,325
bei,北,324
xi,西,323
nan,南,322
dai,代,321
xian,先,320
xiang,象,319
ge,各,318
dai,带,317
biao,表,316
jia,加,315
tong,通,314
jian,见,313
qi,期,312
lin,林,311
chan,产,310
kan,看,309
dui,队,308
yuan,原,307
you,由,306
kou,口,305
jie,解,304
ma,马,303
tian,天,302
an,安,301
fa,法,300
li,理,299
yi,意,298
fang,放,297
gei,给,296
ci,次,295
zhen,真,294
da,打,293
tai,太,292
shao,少,291
zou,走,290
zhi,只,289
chang,常,288
chi,吃,287
zhi,知,286
xin,信,285
guan,关,284
li,里,283
qi,起,282
lao,老,281
shi,师,280
dong,东,279
nv,女,278
jue,觉,277
dian,电,276
gong,公,275
yang,样,274
ne,呢,273
xian,现,272
shi,视,271
xiang,像,270
shei,谁,269
che,车,268
wang,网,267
ba,吧,266
a,啊,265
ya,呀,264
o,哦,263
ma,吗,262
ha,哈,261
en,嗯,260
na,哪,259
la,啦,258
ma,嘛,257
yo,哟,256
wei,喂,255
ai,唉,254
ai,哎,253
yi,咦,252
hai,嗨,251
o,噢,250
rang,嚷,249
heng,哼,248
hei,嘿,247
wa,哇,246
o,喔,245
ai,爱,244
ba,八,243
bei,背,242
ban,班,241
ban,半,240
bang,帮,239
bao,包,238
bao,报,237
bei,杯,236
bi,必,235
bian,边,234
bing,病,233
bo,播,232
bu,步,231
cai,菜,230
can,参,229
cao,草,228
ceng,层,227
cha,茶,226
cha,差,225
chang,场,224
chang,唱,223
cheng,城,222
chu,处,221
chuan,穿,220
chuan,船,219
chun,春,218
ci,词,217
cun,村,216
cuo,错,215
da,答,214
dian,店,213
diao,调,212
diu,丢,211
dong,动,210
du,读,209
du,度,208
duan,短,207
duan,段,206
e,饿,205
fan,反,204
fan,饭,203
fang,房,202
fei,飞,201
fei,非,200
feng,风,200
fu,服,200
fu,付,200
fu,父,200
gai,该,200
gan,感,200
gang,刚,200
gao,告,200
ge,哥,200
gen,跟,200
gong,共,200
gou,狗,200
gu,古,200
gu,故,200
gua,刮,200
guan,管,200
guang,光,200
guang,广,200
gui,贵,200
guo,果,200
hai,孩,200
han,寒,200
hao,号,200
he,喝,200
he,河,200
hei,黑,200
hong,红,200
hou,候,200
hu,呼,200
hu,湖,200
hua,化,200
hua,画,200
huai,坏,200
huan,欢,200
huan,换,200
huang,黄,200
huo,活,200
huo,火,200
ji,鸡,200
ji,级,200
ji,急,200
ji,记,200
ji,技,200
ji,季,200
jia,假,200
jian,建,200
jiang,江,200
jiang,讲,200
jiao,教,200
jiao,叫,200
jiao,角,200
jie,接,200
jie,街,200
jie,节,200
jie,姐,200
jie,介,200
jin,今,200
jin,近,200
jing,京,200
jing,精,200
jiu,九,200
jiu,久,200
jiu,酒,200
ju,举,200
ju,句,200
jue,决,200
kao,考,200
ke,科,200
ke,课,200
ke,客,200
kong,空,200
ku,哭,200
kuai,快,200
kuai,块,200
lan,蓝,200
le,乐,200
lei,类,200
leng,冷,200
li,离,200
lian,连,200
lian,脸,200
lian,练,200
liang,亮,200
ling,零,200
liu,六,200
lu,路,200
lv,绿,200
lv,旅,200
ma,妈,200
mai,买,200
mai,卖,200
man,满,200
mang,忙,200
mao,猫,200
mei,每,200
men,们,200
mi,米,200
min,民,200
mu,母,200
mu,木,200
nan,男,200
nan,难,200
nao,脑,200
nian,念,200
niao,鸟,200
nin,您,200
niu,牛,200
pa,怕,200
pao,跑,200
peng,朋,200
pian,片,200
piao,票,200
ping,平,200
qi,七,200
qian,千,200
qian,钱,200
qiang,墙,200
qiao,桥,200
qin,亲,200
qing,轻,200
qing,青,200
qing,清,200
qing,请,200
qing,情,200
qiu,秋,200
qiu,球,200
qu,取,200
re,热,200
ren,认,200
sheng,声,200
shi,识,200
shi,室,200
shi,试,200
shou,收,200
shu,树,200
shu,数,200
si,思,200
si,死,200
song,送,200
suan,算,200
sui,岁,200
ta,她,200
tan,谈,200
ti,提,200
tian,田,200
ting,听,200
tu,图,200
wai,外,200
wan,完,200
wan,玩,200
wan,晚,200
wang,往,200
wang,望,200
wei,位,200
wu,五,200
wu,午,200
xi,习,200
xi,洗,200
xi,喜,200
xia,夏,200
xiao,笑,200
xiao,校,200
xie,写,200
xie,谢,200
xing,星,200
xing,兴,200
xing,姓,200
xiu,休,200
xu,需,200
xu,许,200
xue,雪,200
ya,牙,200
yan,言,200
yan,眼,200
yang,阳,200
ye,业,200
ye,夜,200
yi,医,200
yin,音,200
ying,影,200
you,友,200
you,右,200
yu,鱼,200
yu,语,200
yu,雨,200
yuan,元,200
yuan,远,200
yuan,院,200
yun,云,200
yun,运,200
zao,早,200
zen,怎,200
zhan,站,200
zhang,张,200
zhao,找,200
zhi,纸,200
zhu,住,200
zhu,注,200
zuo,昨,200
zuo,坐,200
zuo,左,200
zi,字,200
zong,总,200
zu,租,200
zu,足,200
zu,组,200
zui,嘴,200
zuo,座,200
yidingbushi,一丁不识,60
yidingdianer,一丁点儿,60
yibuxiaoxin,一不小心,60
yibuniuzhong,一不扭众,60
yizhuanduoneng,一专多能,60
yiqiuzhihe,一丘之貉,60
yisibucha,一丝不差,60
yisibugua,一丝不挂,60
yisibuwen,一丝不紊,60
yisibugou,一丝不苟,60
yige,一个,100
yigejin,一个劲,60
yigebange,一个半个,60
yigebazhangpaibuxiang,一个巴掌拍不响,30
yigexinyan,一个心眼,60
yigexinyaner,一个心眼儿,30
yigeluoboyigekeng,一个萝卜一个坑,30
yijuwanli,一举万里,60
yijuliangde,一举两得,60
yizhiweishen,一之为甚,60
yizhiyishen,一之已甚,60
yizhiweishen,一之谓甚,60
yiluantudi,一乱涂地,60
yiliao,一了,100
yiliaobailiao,一了百了,60
yiliaobaidang,一了百当,60
yizhenggaodi,一争高低,60
yishibuzhi,一事不知,60
yishiwucheng,一事无成,60
yiwuyishi,一五一十,60
yixie,一些,100
yixiebanxie,一些半些,60
yirenzuoshiyirendang,一人做事一人当,30
yirenyouqing,一人有庆,60
yipuerzhu,一仆二主,60
yijiebuqu,一介不取,60
yijiebugou,一介不苟,60
yidai,一代,100
yidaiburuyidai,一代不如一代,30
yidaikaimo,一代楷模,60
yidaifengliu,一代风流,60
yilingzhi,一令纸,60
yiyidangshi,一以当十,60
yiyidangbai,一以当百,60
yiren,一任,100
yifen,一份,100
yihuoer,一伙儿,60
yihui,一会,100
yihuier,一会儿,60
yisi,一似,100
yiti,一体,100
yitiliangmian,一体两面,60
yititongxin,一体同心,60
yifochushi,一佛出世,60
yice,一侧,100
yibei,一倍,100
yichangyihe,一倡一和,60
yichangsantan,一倡三叹,60
yichangbaihe,一倡百和,60
yipianzhijian,一偏之见,60
yipianzhilun,一偏之论,60
yiyuanhua,一元化,60
yiyuandawu,一元大武,60
yiyuanlun,一元论,60
yigong,一共,100
yichuxi,一出戏,60
yidaoliangduan,一刀两断,60
yidaoqie,一刀切,60
yifen,一分,100
yifenyihao,一分一毫,60
yifenweier,一分为二,60
yifenzi,一分子,60
yifenzijiawan,一分子甲烷,30
yifenzhong,一分钟,60
yiqie,一切,100
yiqiewanwu,一切万物,60
yiqiezhongsheng,一切众生,60
yichana,一刹那,60
yijianzhiren,一剑之任,60
yifu,一副,100
yilichengdang,一力承当,60
yidongbudong,一动不动,60
yidongburuyijing,一动不如一静,30
yilaoyongyi,一劳永逸,60
yibaozainei,一包在内,60
yikuangjiuhe,一匡九合,60
yipi,一匹,100
yipima,一匹马,60
yishibacengdiyu,一十八层地狱,30
yiban,一半,100
yiwobuqi,一卧不起,60
yijuan,一卷,100
yixiangqingyuan,一厢情愿,60
yiqubufufan,一去不复返,30
yishuanglianghao,一双两好,60
yifanqidao,一反其道,60
